gpus,precision,per_gpu_peak_tflops,aggregate_tflops,gpus_reporting
7,bf8,"gpu1590=3336.91;gpu11806=3301.84;gpu17010=3383.11;gpu27226=3191.61;gpu36479=3229.11;gpu42583=3214.95;gpu51771=3388.32",23045.85,7
7,fp16,"gpu1590=1485.21;gpu11806=1543.08;gpu17010=1552.98;gpu27226=1527.10;gpu36479=1537.78;gpu42583=1509.28;gpu51771=1548.83",10704.26,7
7,bf16,"gpu1590=1608.65;gpu11806=1647.26;gpu17010=1662.15;gpu27226=1633.68;gpu36479=1631.38;gpu42583=1620.91;gpu51771=1673.21",11477.24,7
7,fp32,"gpu1590=152.57;gpu11806=153.56;gpu17010=154.46;gpu27226=153.50;gpu36479=153.59;gpu42583=152.75;gpu51771=153.36",1073.79,7
7,fp64,"gpu1590=76.66;gpu11806=76.89;gpu17010=77.10;gpu27226=76.70;gpu36479=77.07;gpu42583=76.62;gpu51771=76.77",537.82,7
8,fp4,"gpu1590=3053.23;gpu11806=2149.78;gpu17010=2172.39;gpu27226=1469.23;gpu36479=1535.36;gpu42583=3951.97;gpu51771=1715.43;gpu57875=1685.84",17733.21,8
8,fp6,"gpu1590=1239.48;gpu11806=1237.97;gpu17010=1239.71;gpu27226=1237.12;gpu36479=1240.95;gpu42583=1236.22;gpu51771=1237.89;gpu57875=1240.84",9910.19,8
8,bf6,"gpu1590=1237.28;gpu11806=1238.23;gpu17010=1239.45;gpu27226=1236.94;gpu36479=1241.59;gpu42583=1235.35;gpu51771=1238.75;gpu57875=1241.17",9908.77,8
8,fp8,"gpu1590=3501.63;gpu11806=3562.64;gpu17010=3733.49;gpu27226=3593.18;gpu36479=3665.04;gpu42583=3558.29;gpu51771=3665.04;gpu57875=3537.22",28816.51,8
8,bf8,"gpu1590=3191.61;gpu11806=3316.78;gpu17010=3367.57;gpu27226=3238.62;gpu36479=3331.85;gpu42583=3291.95;gpu51771=3296.89;gpu57875=3388.32",26423.60,8
8,fp16,"gpu1590=1514.48;gpu11806=1543.09;gpu17010=1548.45;gpu27226=1522.62;gpu36479=1570.73;gpu42583=1508.82;gpu51771=1564.03;gpu57875=1529.22",12301.45,8
8,bf16,"gpu1590=1608.25;gpu11806=1647.74;gpu17010=1656.88;gpu27226=1633.35;gpu36479=1626.21;gpu42583=1637.40;gpu51771=1671.44;gpu57875=1632.53",13113.80,8
8,fp32,"gpu1590=152.63;gpu11806=153.59;gpu17010=154.35;gpu27226=153.40;gpu36479=153.84;gpu42583=152.82;gpu51771=153.68;gpu57875=154.31",1228.63,8
8,fp64,"gpu1590=76.64;gpu11806=76.88;gpu17010=77.03;gpu27226=76.69;gpu36479=76.96;gpu42583=76.75;gpu51771=76.74;gpu57875=77.20",614.90,8
