[RESULT] [ 83124.242868] Action name :RVS-GPUP-TC1
[RESULT] [ 83124.283880] Module name :gpup
[RESULT] [ 83124.284176] [RVS-GPUP-TC1] gpup 17010 3 node_to 5
[RESULT] [ 83124.284176] [RVS-GPUP-TC1] gpup 17010 3 weight 15
[RESULT] [ 83124.284176] [RVS-GPUP-TC1] gpup 17010 3 min_latency 0
[RESULT] [ 83124.284176] [RVS-GPUP-TC1] gpup 17010 3 max_latency 0
[RESULT] [ 83124.284177] [RVS-GPUP-TC1] gpup 17010 3 min_bandwidth 76000
[RESULT] [ 83124.284177] [RVS-GPUP-TC1] gpup 17010 3 max_bandwidth 76000
[RESULT] [ 83124.284177] [RVS-GPUP-TC1] gpup 17010 3 recommended_transfer_size 0
[RESULT] [ 83124.284177] [RVS-GPUP-TC1] gpup 17010 3 recommended_sdma_engine_id_mask 4
[RESULT] [ 83124.284178] [RVS-GPUP-TC1] gpup 17010 3 flags 1
[RESULT] [ 83124.284181] [RVS-GPUP-TC1] gpup 17010 4 type 11
[RESULT] [ 83124.284182] [RVS-GPUP-TC1] gpup 17010 4 version_major 0
[RESULT] [ 83124.284182] [RVS-GPUP-TC1] gpup 17010 4 version_minor 0
[RESULT] [ 83124.284182] [RVS-GPUP-TC1] gpup 17010 4 node_from 2
[RESULT] [ 83124.284182] [RVS-GPUP-TC1] gpup 17010 4 node_to 6
[RESULT] [ 83124.284183] [RVS-GPUP-TC1] gpup 17010 4 weight 15
[RESULT] [ 83124.284183] [RVS-GPUP-TC1] gpup 17010 4 min_latency 0
[RESULT] [ 83124.284183] [RVS-GPUP-TC1] gpup 17010 4 max_latency 0
[RESULT] [ 83124.284183] [RVS-GPUP-TC1] gpup 17010 4 min_bandwidth 76000
[RESULT] [ 83124.284184] [RVS-GPUP-TC1] gpup 17010 4 max_bandwidth 76000
[RESULT] [ 83124.284184] [RVS-GPUP-TC1] gpup 17010 4 recommended_transfer_size 0
[RESULT] [ 83124.284184] [RVS-GPUP-TC1] gpup 17010 4 recommended_sdma_engine_id_mask 16
[RESULT] [ 83124.284184] [RVS-GPUP-TC1] gpup 17010 4 flags 1
[RESULT] [ 83124.284188] [RVS-GPUP-TC1] gpup 17010 5 type 11
[RESULT] [ 83124.284188] [RVS-GPUP-TC1] gpup 17010 5 version_major 0
[RESULT] [ 83124.284188] [RVS-GPUP-TC1] gpup 17010 5 version_minor 0
[RESULT] [ 83124.284189] [RVS-GPUP-TC1] gpup 17010 5 node_from 2
[RESULT] [ 83124.284189] [RVS-GPUP-TC1] gpup 17010 5 node_to 7
[RESULT] [ 83124.284189] [RVS-GPUP-TC1] gpup 17010 5 weight 15
[RESULT] [ 83124.284190] [RVS-GPUP-TC1] gpup 17010 5 min_latency 0
[RESULT] [ 83124.284190] [RVS-GPUP-TC1] gpup 17010 5 max_latency 0
[RESULT] [ 83124.284190] [RVS-GPUP-TC1] gpup 17010 5 min_bandwidth 76000
[RESULT] [ 83124.284190] [RVS-GPUP-TC1] gpup 17010 5 max_bandwidth 76000
[RESULT] [ 83124.284194] [RVS-GPUP-TC1] gpup 17010 5 recommended_transfer_size 0
[RESULT] [ 83124.284194] [RVS-GPUP-TC1] gpup 17010 5 recommended_sdma_engine_id_mask 16384
[RESULT] [ 83124.284194] [RVS-GPUP-TC1] gpup 17010 5 flags 1
[RESULT] [ 83124.284198] [RVS-GPUP-TC1] gpup 17010 6 type 11
[RESULT] [ 83124.284199] [RVS-GPUP-TC1] gpup 17010 6 version_major 0
[RESULT] [ 83124.284199] [RVS-GPUP-TC1] gpup 17010 6 version_minor 0
[RESULT] [ 83124.284199] [RVS-GPUP-TC1] gpup 17010 6 node_from 2
[RESULT] [ 83124.284199] [RVS-GPUP-TC1] gpup 17010 6 node_to 8
[RESULT] [ 83124.284200] [RVS-GPUP-TC1] gpup 17010 6 weight 15
[RESULT] [ 83124.284200] [RVS-GPUP-TC1] gpup 17010 6 min_latency 0
[RESULT] [ 83124.284200] [RVS-GPUP-TC1] gpup 17010 6 max_latency 0
[RESULT] [ 83124.284200] [RVS-GPUP-TC1] gpup 17010 6 min_bandwidth 76000
[RESULT] [ 83124.284201] [RVS-GPUP-TC1] gpup 17010 6 max_bandwidth 76000
[RESULT] [ 83124.284201] [RVS-GPUP-TC1] gpup 17010 6 recommended_transfer_size 0
[RESULT] [ 83124.284201] [RVS-GPUP-TC1] gpup 17010 6 recommended_sdma_engine_id_mask 256
[RESULT] [ 83124.284201] [RVS-GPUP-TC1] gpup 17010 6 flags 1
[RESULT] [ 83124.284205] [RVS-GPUP-TC1] gpup 17010 7 type 11
[RESULT] [ 83124.284205] [RVS-GPUP-TC1] gpup 17010 7 version_major 0
