host,world,rank,model,batch_size,seqlen_q,seqlen_kv,num_head_q,num_head_kv,head_dim_qk,head_dim_v,causal,fwd_tflops,fwd_time,bwd_tflops,bwd_time,backend,dtype
mi355-gpu-33,2,0,Llama2_7B,4,4096,4096,32,32,128,128,True,698.4187453662831,0.0007871435546875,202.25674767972365,0.006795271606445313,flash,bf16
mi355-gpu-33,2,0,Llama3_8B,4,8192,8192,32,8,128,128,True,781.4797860232123,0.0028139221191406253,259.52322126053497,0.021183299560546875,flash,bf16
mi355-gpu-33,2,0,mistral_8x7B,4,4096,4096,32,8,128,128,True,721.8404604979797,0.0007616029357910156,198.2416082068096,0.006932901458740233,flash,bf16
mi355-gpu-33,2,1,Llama2_70B,4,4096,4096,64,8,128,128,True,710.3470144065267,0.0015478514099121095,196.79694020718216,0.013967590484619142,flash,bf16
mi355-gpu-33,2,1,Llama3_70B,4,8192,8192,64,8,128,128,True,753.2356349209435,0.0058388720703125,260.7604591882574,0.0421655810546875,flash,bf16
mi355-gpu-33,2,1,mistral_8x22B,4,4096,4096,48,8,128,128,True,709.2977282086404,0.0011626058959960937,197.85637826660073,0.01041959991455078,flash,bf16
