host,world,rank,model,batch_size,seqlen_q,seqlen_kv,num_head_q,num_head_kv,head_dim_qk,head_dim_v,causal,fwd_tflops,fwd_time,bwd_tflops,bwd_time,backend,dtype
mi355-gpu-33,3,0,Llama2_7B,4,4096,4096,32,32,128,128,True,696.1401674495005,0.0007897200012207031,202.02936111710528,0.006802919769287109,flash,bf16
mi355-gpu-33,3,0,Llama3_70B,4,8192,8192,64,8,128,128,True,770.9003127987841,0.005705078125,261.8999827267012,0.041982119140625,flash,bf16
mi355-gpu-33,3,1,Llama2_70B,4,4096,4096,64,8,128,128,True,707.4728359840193,0.0015541397094726564,194.7607522874907,0.014113619079589843,flash,bf16
mi355-gpu-33,3,1,mistral_8x7B,4,4096,4096,32,8,128,128,True,703.0693037940172,0.0007819368743896485,197.40523073148552,0.0069622751617431635,flash,bf16
mi355-gpu-33,3,2,Llama3_8B,4,8192,8192,32,8,128,128,True,769.9324607774156,0.0028561248779296875,262.3597640527361,0.02095427307128906,flash,bf16
mi355-gpu-33,3,2,mistral_8x22B,4,4096,4096,48,8,128,128,True,703.370284056108,0.0011724034118652344,199.45795938510594,0.010335933990478517,flash,bf16
