host,world,rank,model,batch_size,seqlen_q,seqlen_kv,num_head_q,num_head_kv,head_dim_qk,head_dim_v,causal,fwd_tflops,fwd_time,bwd_tflops,bwd_time,backend,dtype
mi355-gpu-33,1,0,Llama2_7B,4,4096,4096,32,32,128,128,True,697.7590789459316,0.0007878877258300781,202.4127246121078,0.006790035247802734,flash,bf16
mi355-gpu-33,1,0,Llama2_70B,4,4096,4096,64,8,128,128,True,721.5251789046463,0.0015238714599609376,198.8794736401653,0.013821331176757812,flash,bf16
mi355-gpu-33,1,0,Llama3_8B,4,8192,8192,32,8,128,128,True,779.4938252630196,0.00282109130859375,263.2642020614587,0.02088228515625,flash,bf16
mi355-gpu-33,1,0,Llama3_70B,4,8192,8192,64,8,128,128,True,771.1248722285818,0.005703416748046875,263.93837495389505,0.04165789184570313,flash,bf16
mi355-gpu-33,1,0,mistral_8x7B,4,4096,4096,32,8,128,128,True,723.0932448927243,0.000760283432006836,200.21610401264346,0.006864530410766601,flash,bf16
mi355-gpu-33,1,0,mistral_8x22B,4,4096,4096,48,8,128,128,True,720.7589170430193,0.0011441186523437502,200.98445442375717,0.010257431640625,flash,bf16
