host,world,rank,model,batch_size,seqlen_q,seqlen_kv,num_head_q,num_head_kv,head_dim_qk,head_dim_v,causal,fwd_tflops,fwd_time,bwd_tflops,bwd_time,backend,dtype
mi355-gpu-33,4,0,Llama2_7B,4,4096,4096,32,32,128,128,True,697.9426377565279,0.0007876805114746094,202.5983992435577,0.006783812408447266,flash,bf16
mi355-gpu-33,4,0,mistral_8x7B,4,4096,4096,32,8,128,128,True,723.1453481156691,0.0007602286529541015,199.66845516553093,0.006883358383178711,flash,bf16
mi355-gpu-33,4,1,Llama2_70B,4,4096,4096,64,8,128,128,True,711.7731570369406,0.0015447500610351564,194.27992032221138,0.014148549499511717,flash,bf16
mi355-gpu-33,4,1,mistral_8x22B,4,4096,4096,48,8,128,128,True,705.3104363973736,0.0011691783905029296,197.61105118572436,0.01043253547668457,flash,bf16
mi355-gpu-33,4,2,Llama3_8B,4,8192,8192,32,8,128,128,True,772.7684925345126,0.002845643005371094,259.2358873866166,0.021206778869628906,flash,bf16
mi355-gpu-33,4,3,Llama3_70B,4,8192,8192,64,8,128,128,True,722.4349098894069,0.00608781005859375,266.93026362539615,0.04119096923828126,flash,bf16
