host,world,rank,model,batch_size,seqlen_q,seqlen_kv,num_head_q,num_head_kv,head_dim_qk,head_dim_v,causal,fwd_tflops,fwd_time,bwd_tflops,bwd_time,backend,dtype
mi355-gpu-33,5,0,Llama2_7B,4,4096,4096,32,32,128,128,True,699.6066987580735,0.0007858069610595703,202.10809211031267,0.006800269699096679,flash,bf16
mi355-gpu-33,5,0,mistral_8x22B,4,4096,4096,48,8,128,128,True,720.2581624779941,0.0011449140930175781,198.99367707526883,0.010360049285888672,flash,bf16
mi355-gpu-33,5,1,Llama2_70B,4,4096,4096,64,8,128,128,True,707.9874978745707,0.0015530099487304687,197.04760771712523,0.013949822082519532,flash,bf16
mi355-gpu-33,5,2,Llama3_8B,4,8192,8192,32,8,128,128,True,767.5228574993719,0.0028650915527343754,262.7769973466439,0.020921002197265625,flash,bf16
mi355-gpu-33,5,3,Llama3_70B,4,8192,8192,64,8,128,128,True,720.6896652084491,0.0061025524902343755,265.633013909578,0.04139213012695312,flash,bf16
mi355-gpu-33,5,4,mistral_8x7B,4,4096,4096,32,8,128,128,True,718.7669477252444,0.000764859619140625,197.5476831163345,0.006957254638671875,flash,bf16
