host,world,rank,model,batch_size,seqlen_q,seqlen_kv,num_head_q,num_head_kv,head_dim_qk,head_dim_v,causal,fwd_tflops,fwd_time,bwd_tflops,bwd_time,backend,dtype
mi355-gpu-33,6,0,Llama2_7B,4,4096,4096,32,32,128,128,True,696.9846142514796,0.0007887631988525391,201.90385168281057,0.006807148666381836,flash,bf16
mi355-gpu-33,6,1,Llama2_70B,4,4096,4096,64,8,128,128,True,712.172447928216,0.0015438839721679688,193.79847944478752,0.014183697814941406,flash,bf16
mi355-gpu-33,6,2,Llama3_8B,4,8192,8192,32,8,128,128,True,772.5882833056381,0.0028463067626953126,258.733327868111,0.02124797058105469,flash,bf16
mi355-gpu-33,6,3,Llama3_70B,4,8192,8192,64,8,128,128,True,723.7386784039044,0.00607684326171875,266.680682505684,0.041229519042968746,flash,bf16
mi355-gpu-33,6,4,mistral_8x7B,4,4096,4096,32,8,128,128,True,711.3837946763687,0.0007727977752685546,199.9022405953451,0.006875308303833008,flash,bf16
mi355-gpu-33,6,5,mistral_8x22B,4,4096,4096,48,8,128,128,True,702.6139428176527,0.0011736654663085937,198.36963139216397,0.010392640686035156,flash,bf16
