host,world,rank,model,batch_size,seqlen_q,seqlen_kv,num_head_q,num_head_kv,head_dim_qk,head_dim_v,causal,fwd_tflops,fwd_time,bwd_tflops,bwd_time,backend,dtype
mi355-gpu-33,7,0,Llama2_7B,4,4096,4096,32,32,128,128,True,700.8949503523747,0.0007843626403808594,202.39666902811845,0.00679057388305664,flash,bf16
mi355-gpu-33,7,1,Llama2_70B,4,4096,4096,64,8,128,128,True,710.5250659538164,0.0015474635314941408,194.62360994352295,0.014123564300537109,flash,bf16
mi355-gpu-33,7,2,Llama3_8B,4,8192,8192,32,8,128,128,True,770.1454265870424,0.0028553350830078125,262.3647925580168,0.020953871459960936,flash,bf16
mi355-gpu-33,7,3,Llama3_70B,4,8192,8192,64,8,128,128,True,722.7207587750962,0.006085402221679687,261.3652827426513,0.04206800598144531,flash,bf16
mi355-gpu-33,7,4,mistral_8x7B,4,4096,4096,32,8,128,128,True,715.0181046518207,0.0007688697814941406,199.09237491173698,0.006903275604248047,flash,bf16
mi355-gpu-33,7,5,mistral_8x22B,4,4096,4096,48,8,128,128,True,703.7920941948133,0.0011717007446289062,194.30173712899713,0.010610220642089843,flash,bf16
