gpus,precision,per_gpu_peak_tflops,aggregate_tflops,gpus_reporting
1,bf16,"gpu61585=1493.37",1493.37,1
2,bf16,"gpu29764=1487.26;gpu61585=1479.39",2966.65,2
4,bf16,"gpu19435=1426.48;gpu27852=1434.46;gpu29764=1417.03;gpu61585=1411.17",5689.14,4
8,bf16,"gpu19314=944.22;gpu19435=1015.43;gpu27852=923.61;gpu29764=1006.69;gpu57625=933.45;gpu61585=1002.68;gpu62733=924.23;gpu63889=1007.53",7757.84,8
