conc,tps,total_tps,rps,ttft,ttft99,tpot,tpot99,completed
64,1225.2744999519812,6147.399705696272,1.3291270912862831,318.6033279635012,15909.60012529511,50.08024447050907,57.387660899967884,640
128,1670.9714440416872,8356.952030241064,1.8092826192728162,471.9484399538487,24055.105205823234,75.00652797292945,85.75038969461706,1280
256,2098.150749452447,10527.107725293698,2.2813134884310147,531.5782014513388,47659.770137171596,120.0311741184685,142.325667402733,2560
