arm,concurrency,median_tpot_ms,per_request_tok_s,aggregate_tok_s,median_ttft_ms,p99_tpot_ms
K1_mad_default,1,24.435236989609894,40.92450588570964,40.51926381911944,232.45685151778162,24.478252593310287
K1_mad_default,2,25.205029517523343,39.674621261790946,77.24575781753809,241.75659503089264,25.27418987642576
K1_mad_default,4,26.527588740013744,37.696603705696695,144.20021069233763,250.2116915420629,26.870530473411538
K1_mad_default,8,28.813298399359837,34.706196636696674,231.6833227137781,256.26945949625224,29.944728788453407
K3_aiter_attn,1,24.48739380471338,40.83733891711735,40.47401818686768,220.78912251163274,24.52441850118615
K3_aiter_attn,2,25.140104048593155,39.777082786415924,77.43430211090454,252.74461798835546,25.210528523761237
K3_aiter_attn,4,26.491248154952483,37.74831575133058,144.5759410984181,242.9022715659812,26.824150308904205
K3_aiter_attn,8,28.727443966602532,34.809919085128605,231.8280136896949,258.2494220114313,29.832831769896895
K4_grouped_gemm,1,23.77685933911458,42.057699283897044,41.65490264084989,219.97309545986354,23.84984528179827
K4_grouped_gemm,2,24.48072001326494,40.848471754840034,79.4135808549915,249.2015510215424,24.592619633042
K4_grouped_gemm,4,25.853524079283645,38.67944644348494,148.23158886081077,250.02569251228124,26.18397917528437
K4_grouped_gemm,8,28.189008212063374,35.474820273103965,235.91159238645363,256.3389649731107,29.138679548496913
