run,collective,config,gpus,max_size_bytes,busbw_at_max_GBps,peak_busbw_GBps,n_sizes
rccl_tests_20260813_213348,all_gather,no_mscll,8,8589934592,389.13,389.13,10
rccl_tests_20260813_213348,all_gather,proto_simple,2,8589934592,59.74,59.74,10
rccl_tests_20260813_213348,all_gather,proto_simple,3,8589934560,90.43,90.43,10
rccl_tests_20260813_213348,all_gather,proto_simple,4,8589934592,167.76,167.76,10
rccl_tests_20260813_213348,all_gather,proto_simple,5,8589934560,45.86,45.86,10
rccl_tests_20260813_213348,all_gather,proto_simple,6,8589934560,44.53,44.53,10
rccl_tests_20260813_213348,all_gather,proto_simple,7,8589934528,43.74,43.74,10
rccl_tests_20260813_213348,all_gather,proto_simple,8,8589934592,389.57,389.57,10
rccl_tests_20260813_213348,all_gather,ring,2,8589934592,59.72,59.72,10
rccl_tests_20260813_213348,all_gather,ring,3,8589934560,90.38,90.38,10
rccl_tests_20260813_213348,all_gather,ring,4,8589934592,168.05,168.05,10
rccl_tests_20260813_213348,all_gather,ring,5,8589934560,45.93,45.93,10
rccl_tests_20260813_213348,all_gather,ring,6,8589934560,44.51,44.51,10
rccl_tests_20260813_213348,all_gather,ring,7,8589934528,43.44,43.49,10
rccl_tests_20260813_213348,all_gather,ring,8,8589934592,388.94,388.94,10
rccl_tests_20260813_213348,all_gather,tree,2,8589934592,59.79,59.79,10
rccl_tests_20260813_213348,all_gather,tree,3,8589934560,90.56,90.56,10
rccl_tests_20260813_213348,all_gather,tree,4,8589934592,168.2,168.2,10
rccl_tests_20260813_213348,all_gather,tree,5,8589934560,45.82,45.82,10
rccl_tests_20260813_213348,all_gather,tree,6,8589934560,44.4,44.4,10
rccl_tests_20260813_213348,all_gather,tree,7,8589934528,43.7,43.7,10
rccl_tests_20260813_213348,all_gather,tree,8,8589934592,388.54,388.54,10
rccl_tests_20260813_213348,all_reduce,default,2,8589934592,59.63,59.66,10
rccl_tests_20260813_213348,all_reduce,default,3,8589934592,92.41,92.41,10
rccl_tests_20260813_213348,all_reduce,default,4,8589934592,169.47,169.88,10
rccl_tests_20260813_213348,all_reduce,default,5,8589934592,47.98,47.98,10
rccl_tests_20260813_213348,all_reduce,default,6,8589934592,47.66,47.69,10
rccl_tests_20260813_213348,all_reduce,default,7,8589934592,47.64,47.64,10
rccl_tests_20260813_213348,all_reduce,default,8,8589934592,396.33,396.48,10
rccl_tests_20260813_213348,all_reduce,no_mscll,2,8589934592,59.78,59.78,10
rccl_tests_20260813_213348,all_reduce,no_mscll,3,8589934592,92.49,92.49,10
rccl_tests_20260813_213348,all_reduce,no_mscll,4,8589934592,169.33,169.64,10
rccl_tests_20260813_213348,all_reduce,no_mscll,5,8589934592,47.94,48.0,10
rccl_tests_20260813_213348,all_reduce,no_mscll,6,8589934592,47.72,47.72,10
rccl_tests_20260813_213348,all_reduce,no_mscll,7,8589934592,47.43,47.43,10
rccl_tests_20260813_213348,all_reduce,no_mscll,8,8589934592,396.83,396.83,10
rccl_tests_20260813_213348,all_reduce,proto_simple,2,8589934592,59.51,59.51,10
rccl_tests_20260813_213348,all_reduce,proto_simple,3,8589934592,92.82,92.82,10
rccl_tests_20260813_213348,all_reduce,proto_simple,4,8589934592,169.65,169.81,10
rccl_tests_20260813_213348,all_reduce,proto_simple,5,8589934592,47.99,47.99,10
rccl_tests_20260813_213348,all_reduce,proto_simple,6,8589934592,47.71,47.71,10
rccl_tests_20260813_213348,all_reduce,proto_simple,7,8589934592,47.62,47.62,10
rccl_tests_20260813_213348,all_reduce,proto_simple,8,8589934592,397.02,397.08,10
rccl_tests_20260813_213348,all_reduce,ring,2,8589934592,59.82,59.82,10
rccl_tests_20260813_213348,all_reduce,ring,3,8589934592,92.7,92.7,10
rccl_tests_20260813_213348,all_reduce,ring,4,8589934592,169.74,170.15,10
rccl_tests_20260813_213348,all_reduce,ring,5,8589934592,47.97,47.97,10
rccl_tests_20260813_213348,all_reduce,ring,6,8589934592,47.7,47.7,10
rccl_tests_20260813_213348,all_reduce,ring,7,8589934592,47.42,47.45,10
rccl_tests_20260813_213348,all_reduce,ring,8,8589934592,396.34,396.42,10
rccl_tests_20260813_213348,all_reduce,tree,2,8589934592,27.36,47.88,10
rccl_tests_20260813_213348,all_reduce,tree,3,8589934592,26.26,43.79,10
rccl_tests_20260813_213348,all_reduce,tree,4,8589934592,65.7,109.19,10
rccl_tests_20260813_213348,all_reduce,tree,5,8589934592,15.26,26.59,10
rccl_tests_20260813_213348,all_reduce,tree,6,8589934592,15.3,26.98,10
rccl_tests_20260813_213348,all_reduce,tree,7,8589934592,16.34,28.61,10
rccl_tests_20260813_213348,all_reduce,tree,8,8589934592,166.96,263.51,10
