conc,tps,total_tps,rps,ttft,ttft99,tpot,tpot99,completed
64,1235.9784679669826,2472.5142105207246,1.3408110358123144,285.2033494855277,13565.850570823532,50.08404064768941,52.913541886188625,640
128,1795.486623689357,3594.9176427176144,1.9516142380334058,387.1992835192941,7041.392183454009,70.7106937416059,76.29246339966579,1280
256,2529.900781500433,5057.356422101399,2.74421775652464,458.2842735107988,13335.365337334677,101.52471235928779,110.6392246959972,2560
512,3385.937845617784,6768.756636227957,3.671163595165537,541.1802095477469,26439.829916754974,152.81651540856407,169.5744445359443,5120
